,0--2,0--3,0--4,0--5,1--3,1--4,1--5,2--4,2--5,3--5
0--0--0--0,0.0,0.0,2.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0
0--0--0--1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0--0--0--2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0--0--0--3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0--0--1--0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0--0--1--1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0--0--1--2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0--0--1--3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0--0--2--0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
0--0--2--1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0--0--2--2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0--0--2--3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0--0--3--0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0--0--3--1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0--0--3--2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0--0--3--3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0--1--0--0,53.0,80.0,881.0,76.0,43.0,48.0,60.0,42.0,33.0,37.0
0--1--0--1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0--1--0--2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
0--1--0--3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0--1--1--0,7.0,1.0,33.0,4.0,6.0,10.0,7.0,1.0,4.0,1.0
0--1--1--1,0.0,0.0,0.0,0.0,9.0,0.0,0.0,2.0,0.0,0.0
0--1--1--2,0.0,8.0,0.0,1.0,0.0,2.0,1.0,0.0,16.0,2.0
0--1--1--3,0.0,0.0,0.0,8.0,0.0,0.0,0.0,2.0,0.0,4.0
0--1--2--0,12.0,9.0,153.0,21.0,9.0,18.0,27.0,13.0,11.0,4.0
0--1--2--1,0.0,1.0,0.0,3.0,1.0,2.0,3.0,0.0,21.0,1.0
0--1--2--2,5.0,14.0,32.0,9.0,13.0,127.0,7.0,7.0,6.0,17.0
0--1--2--3,1.0,0.0,6.0,3.0,1.0,12.0,0.0,0.0,2.0,15.0
0--1--3--0,1.0,2.0,1.0,2.0,0.0,2.0,4.0,4.0,8.0,0.0
0--1--3--1,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0--1--3--2,2.0,15.0,5.0,0.0,8.0,1.0,1.0,0.0,3.0,14.0
0--1--3--3,2.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,5.0,0.0
0--2--0--0,165.0,2244.0,1637.0,426.0,252.0,192.0,331.0,194.0,172.0,164.0
0--2--0--1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
0--2--0--2,0.0,0.0,0.0,1.0,0.0,5.0,1.0,0.0,0.0,0.0
0--2--0--3,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0--2--1--0,10.0,7.0,201.0,26.0,10.0,7.0,37.0,5.0,9.0,4.0
0--2--1--1,0.0,0.0,4.0,3.0,3.0,30.0,2.0,1.0,0.0,0.0
0--2--1--2,4.0,13.0,3.0,5.0,10.0,8.0,5.0,7.0,83.0,4.0
0--2--1--3,2.0,1.0,2.0,2.0,10.0,16.0,3.0,6.0,2.0,3.0
0--2--2--0,33.0,846.0,31.0,44.0,136.0,45.0,38.0,33.0,44.0,49.0
0--2--2--1,0.0,8.0,6.0,2.0,74.0,3.0,2.0,8.0,6.0,7.0
0--2--2--2,29.0,703.0,45.0,24.0,80.0,27.0,37.0,26.0,30.0,57.0
0--2--2--3,13.0,29.0,3.0,6.0,5.0,3.0,5.0,8.0,2.0,100.0
0--2--3--0,3.0,12.0,3.0,2.0,1.0,1.0,0.0,2.0,69.0,7.0
0--2--3--1,2.0,2.0,1.0,4.0,2.0,1.0,1.0,24.0,1.0,5.0
0--2--3--2,5.0,7.0,6.0,3.0,48.0,5.0,6.0,82.0,6.0,16.0
0--2--3--3,2.0,28.0,1.0,1.0,2.0,1.0,0.0,0.0,4.0,20.0
0--3--0--0,37.0,72.0,52.0,38.0,742.0,41.0,83.0,40.0,43.0,29.0
0--3--0--1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0--3--0--2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0--3--0--3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0--3--1--0,3.0,2.0,5.0,8.0,51.0,2.0,4.0,0.0,0.0,5.0
0--3--1--1,0.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
0--3--1--2,1.0,4.0,1.0,1.0,0.0,1.0,1.0,1.0,13.0,1.0
0--3--1--3,0.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
0--3--2--0,5.0,7.0,12.0,6.0,149.0,7.0,15.0,10.0,36.0,4.0
0--3--2--1,1.0,1.0,1.0,0.0,13.0,0.0,0.0,0.0,8.0,0.0
0--3--2--2,5.0,23.0,11.0,5.0,117.0,4.0,7.0,10.0,5.0,3.0
0--3--2--3,0.0,0.0,0.0,0.0,2.0,20.0,0.0,0.0,6.0,2.0
0--3--3--0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0
0--3--3--1,1.0,0.0,2.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0
0--3--3--2,0.0,0.0,0.0,0.0,4.0,1.0,1.0,30.0,2.0,1.0
0--3--3--3,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0
1--0--0--0,313.0,605.0,71.0,45.0,37.0,50.0,37.0,32.0,37.0,39.0
1--0--0--1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1--0--0--2,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0
1--0--0--3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1--0--1--0,5.0,9.0,25.0,12.0,2.0,3.0,2.0,1.0,5.0,4.0
1--0--1--1,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,12.0,0.0
1--0--1--2,1.0,1.0,0.0,0.0,6.0,0.0,0.0,3.0,0.0,22.0
1--0--1--3,6.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
1--0--2--0,8.0,7.0,7.0,171.0,10.0,43.0,15.0,18.0,5.0,10.0
1--0--2--1,0.0,1.0,15.0,0.0,0.0,2.0,6.0,0.0,2.0,3.0
1--0--2--2,13.0,5.0,125.0,6.0,4.0,60.0,8.0,9.0,9.0,6.0
1--0--2--3,3.0,1.0,2.0,1.0,2.0,6.0,2.0,24.0,2.0,2.0
1--0--3--0,1.0,0.0,0.0,13.0,1.0,0.0,0.0,8.0,0.0,2.0
1--0--3--1,0.0,2.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,1.0
1--0--3--2,8.0,13.0,0.0,3.0,5.0,4.0,0.0,2.0,6.0,6.0
1--0--3--3,5.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,2.0
1--1--0--0,4569.0,4671.0,5198.0,68822.0,4598.0,4743.0,4590.0,4609.0,4575.0,4689.0
1--1--0--1,11.0,1.0,1.0,35.0,3.0,0.0,17.0,1.0,2.0,2.0
1--1--0--2,8.0,70.0,4.0,7.0,9.0,6.0,28.0,10.0,5.0,6.0
1--1--0--3,3.0,6.0,1.0,2.0,3.0,6.0,4.0,5.0,89.0,4.0
1--1--1--0,227.0,234.0,5965.0,217.0,220.0,257.0,229.0,257.0,268.0,225.0
1--1--1--1,32.0,49.0,704.0,23.0,27.0,28.0,60.0,47.0,44.0,46.0
1--1--1--2,129.0,107.0,2905.0,105.0,122.0,109.0,134.0,120.0,114.0,92.0
1--1--1--3,36.0,35.0,889.0,38.0,33.0,37.0,30.0,40.0,34.0,45.0
1--1--2--0,1008.0,1081.0,1072.0,1001.0,1050.0,1183.0,22647.0,1017.0,1092.0,1058.0
1--1--2--1,107.0,129.0,105.0,110.0,98.0,2558.0,115.0,108.0,108.0,101.0
1--1--2--2,858.0,1666.0,865.0,912.0,926.0,18381.0,895.0,809.0,867.0,898.0
1--1--2--3,166.0,154.0,142.0,124.0,171.0,3650.0,178.0,162.0,167.0,159.0
1--1--3--0,91.0,94.0,87.0,85.0,88.0,90.0,94.0,68.0,2009.0,75.0
1--1--3--1,46.0,199.0,42.0,29.0,39.0,33.0,37.0,667.0,34.0,42.0
1--1--3--2,137.0,155.0,144.0,180.0,168.0,163.0,165.0,3553.0,154.0,148.0
1--1--3--3,40.0,29.0,32.0,42.0,36.0,27.0,32.0,817.0,31.0,42.0
1--2--0--0,18634.0,107407.0,18555.0,18440.0,18560.0,18567.0,18805.0,18473.0,18556.0,18664.0
1--2--0--1,16.0,9.0,10.0,11.0,17.0,18.0,264.0,12.0,7.0,16.0
1--2--0--2,20.0,426.0,18.0,15.0,18.0,21.0,15.0,14.0,18.0,17.0
1--2--0--3,23.0,353.0,22.0,8.0,11.0,15.0,21.0,10.0,26.0,10.0
1--2--1--0,1120.0,23167.0,1072.0,1057.0,1051.0,1320.0,1122.0,1098.0,1038.0,1094.0
1--2--1--1,127.0,3234.0,152.0,116.0,142.0,195.0,134.0,147.0,132.0,115.0
1--2--1--2,490.0,11100.0,544.0,525.0,567.0,645.0,526.0,511.0,1067.0,507.0
1--2--1--3,171.0,4024.0,186.0,164.0,181.0,208.0,162.0,157.0,193.0,179.0
1--2--2--0,4407.0,67737.0,4638.0,4476.0,4540.0,4526.0,4499.0,4510.0,4542.0,4529.0
1--2--2--1,453.0,10669.0,467.0,459.0,448.0,465.0,475.0,480.0,456.0,427.0
1--2--2--2,3762.0,61634.0,3720.0,3793.0,3871.0,3896.0,3746.0,3623.0,3777.0,3758.0
1--2--2--3,702.0,15261.0,673.0,644.0,709.0,704.0,636.0,705.0,645.0,687.0
1--2--3--0,382.0,8455.0,333.0,377.0,366.0,391.0,390.0,365.0,377.0,367.0
1--2--3--1,146.0,3779.0,157.0,156.0,141.0,142.0,163.0,168.0,156.0,146.0
1--2--3--2,663.0,14760.0,672.0,679.0,671.0,677.0,599.0,633.0,619.0,741.0
1--2--3--3,151.0,3437.0,158.0,162.0,168.0,150.0,133.0,197.0,166.0,144.0
1--3--0--0,3963.0,4065.0,4043.0,4006.0,63753.0,4035.0,4160.0,3952.0,4008.0,4038.0
1--3--0--1,6.0,3.0,2.0,1.0,41.0,6.0,2.0,1.0,1.0,2.0
1--3--0--2,1.0,5.0,5.0,6.0,3.0,111.0,7.0,6.0,2.0,4.0
1--3--0--3,5.0,2.0,4.0,4.0,2.0,58.0,6.0,2.0,6.0,6.0
1--3--1--0,241.0,223.0,217.0,204.0,5118.0,216.0,209.0,223.0,224.0,229.0
1--3--1--1,24.0,26.0,34.0,35.0,644.0,20.0,28.0,23.0,22.0,26.0
1--3--1--2,122.0,91.0,98.0,120.0,2438.0,111.0,115.0,90.0,174.0,92.0
1--3--1--3,40.0,29.0,32.0,43.0,794.0,34.0,33.0,23.0,43.0,42.0
